# Name & JD & V
AD Gem & 2458860.539 & 10.101
AD Gem & 2458861.485 & 10.114
X Lac & 2448073.990 & 0.881
X Lac & 2448117.921 & 0.867
X Lac & 2448477.006 & 0.874
X Lac & 2448478.001 & 0.938
X Lac & 2448478.949 & 1.084
X Lac & 2448480.963 & 1.297
X Lac & 2448593.794 & 1.200
X Lac & 2448594.811 & 1.313
X Lac & 2448881.901 & 1.088
X Lac & 2449539.014 & 0.845
X Lac & 2449571.007 & 0.937
X Lac & 2449603.945 & 0.890
X Lac & 2449606.858 & 1.237
X Lac & 2449688.824 & 1.259
X Lac & 2449721.767 & 1.295
X Lac & 2449900.994 & 1.270
X Lac & 2449918.988 & 1.148
X Lac & 2449920.990 & 0.964
X Lac & 2449922.006 & 1.146
X Lac & 2449952.970 & 0.873
X Lac & 2449986.968 & 1.095
X Lac & 2449987.895 & 1.256
X Lac & 2450015.819 & 1.309
X Lac & 2450016.844 & 1.211
X Lac & 2450018.822 & 0.949
X Lac & 2450371.845 & 0.869
X Lac & 2450376.881 & 0.935
X Lac & 2450634.006 & 0.956
X Lac & 2450634.958 & 1.094
X Lac & 2450749.866 & 1.222
X Lac & 2450750.855 & 1.292
X Lac & 2450751.830 & 1.159
X Lac & 2451051.952 & 0.918
X Lac & 2451052.902 & 0.933
X Lac & 2452194.934 & 0.876
X Lac & 2452195.898 & 0.816
X Lac & 2452196.879 & 0.930
X Lac & 2452197.848 & 1.105
X Lac & 2452198.870 & 1.216
X Lac & 2452199.902 & 1.081
X Lac & 2452200.834 & 0.804
X Lac & 2452589.761 & 1.089
X Lac & 2452618.789 & 1.171
X Lac & 2452619.743 & 0.848
X Lac & 2452673.725 & 1.048
X Lac & 2452901.935 & 1.158
X Lac & 2452902.862 & 0.864
X Lac & 2452903.890 & 0.825
X Lac & 2452904.856 & 0.964
X Lac & 2452905.919 & 1.132
X Lac & 2452906.856 & 1.198
X Lac & 2452948.886 & 1.047
X Lac & 2453266.851 & 1.127
X Lac & 2453286.826 & 1.104
X Lac & 2453612.909 & 1.007
X Lac & 2453614.863 & 1.183
RS Ori & 2458804.525 & 8.1445
RS Ori & 2458806.496 & 8.7417
RS Ori & 2458807.650 & 9.2398
RS Ori & 2458824.447 & 8.0914
RS Ori & 2458828.646 & 8.5233
RS Ori & 2458855.378 & 8.3883
RS Ori & 2458859.455 & 9.5035
RS Ori & 2458860.571 & 9.0006
RS Ori & 2458861.446 & 8.8411
CS Ori & 2458804.517 & 11.259
CS Ori & 2458806.488 & 11.732
CS Ori & 2458806.609 & 11.761
CS Ori & 2458807.579 & 11.377
CS Ori & 2458823.440 & 10.842
CS Ori & 2458824.535 & 11.332
CS Ori & 2458855.368 & 11.236
CS Ori & 2458859.447 & 11.073
CS Ori & 2458860.549 & 11.647
CS Ori & 2458861.456 & 11.766
AW Per & 2458804.547 & 6.9595
AW Per & 2458804.672 & 7.2695
AW Per & 2458806.262 & 7.4875
AW Per & 2458806.460 & 7.5699
AW Per & 2458806.581 & 7.6238
AW Per & 2458806.684 & 7.6697
